episode,username,comment,quoted_user,quoted_text,join_date,post_num,neg,neu,pos,compound,overall,anger,disgust,fear,joy,neutral,sadness,surprise,ep_rating
Ep11,Rasco,"""  For real Facts my nigaa  Behold of my awesomeness~  controversial and/or sensitive topics likely devolve into the same repetitive, derogatory, abusive, and harassing comments can no longer be posted. But my feels. """,HibiChika,"""HibiChika said:blue+lock=block because their flow ain't worth jackshit if all the players get in the zone. just upgrade from shikai to bankai already!""",10-Mar,56284,0.257,0.743,0.0,-0.7469,negative,0.539803088,0.029141061,0.330444157,0.012745962,0.015501315,0.0709235,0.001440925,4.2
Ep14,natik_m_7,"""  IT WAS LOOKING LIKE FAN ANIMATION, BUT IT WAS LOOKING GREAT AT THE SAME TIME. I DON'T CARE ABOUT THE ANIMATION RIGHT NOW THE STORY WAS PEAK.  RIN'S AWEKENING WAS CRAZY.  10/10 EPISODE  AND  8/10 FOR THIS SEASON.""",,,24-Jul,20,0.165,0.623,0.212,0.3458,positive,0.562185228,0.030752212,0.082662575,0.019499369,0.163955912,0.01511423,0.125830412,4.6
Ep4,adbeaver,"""  Yea I get you, it's like he's doing it on purpose lol""",yellowheartren,"""yellowheartren said:@adbeaverYeah, no, I remember that. But his jersey number is 7, at least here.""",15-Mar,1074,0.0,0.629,0.371,0.6486,positive,0.19813168,0.285580367,0.019145995,0.06816601,0.378836125,0.018117057,0.032022759,3.5
Ep14,Ayzeen_,""" A goal redeemed a terrible work in preparation for years yeah right     Otherwise without being part of the bandwagon and being objective, this season was terrible as a whole but few exceptions like this episode and the Shidou episodes (11 I think) made it not a complete mistake.  The last episode was good, definitely not a perfect episode like people say it is, maybe if it had the whole episode animated well and not the last 5 minutes only it'd be possible but with that it's just a good episode, solid 8.5/10.  Doesn't excuse the terrible episodes we had the whole season, 8bit had 2 years to make something out of the highest selling manga of 2023 and they did so bad a lot of people dropped it during the middle.  Hopefully next season won't have the same structure with a few good episodes and the rest that makes you wanna stop watching anime all together.Ayzeen_Dec 31, 2024 12:59 AM""",Volts71,"""Volts71 said:That goal was the greatest thing I've ever seen in an anime , everything aside Isagi's goal redeemed the entire season and we're all in for next one , The Neo Egoist League !! Also Kuigami's reveal in the end gave me goosebumpsTHE PEAK LOCK IS REAL 🔥⚽""",18-Sep,4,0.131,0.69,0.18,0.8514,positive,0.028801784,0.174345329,0.322923511,0.035289925,0.308431089,0.09359201,0.036616363,4.6
Ep1,Beautimus,""" At least it's not the worst lol😂😂😂😂😂😂😂😂😂😂😂😂😂😂""",IzanaSolos,"""IzanaSolos said:It's back, worse than ever, as seen in the PVs lmao. Last season I could kinda look over it, I mean the first couple of episodes actually looked good, but this time around, half this episode is just still frames... LOL. God, 8bit is so ASS.Animation whatever, picking up RIGHT where we left off with the third selection, easily the worst arc of the show, so I kinda get why 8bit doesn't care for it all too much. I could care less as long as they do U-20 well. Anywho, to this day I still find it crazy that Isagi didn't get picked here. But what's worse than the Isagi not getting picked? His friends getting chosen instead. And Bachira... yeah, he's talented, but is he really fit to be a striker? Has the dude even scored a goal yet?Though, yeah, drawings look good as always, but 8bit YET again has another ""yapfest"" show on their hands with this, and it dosen't even move as well... this is legit just TenSura season three if it were soccer now. Whatever that's the last time I'll complain about the animation, But yeah, it’s like the old codependency, like how Isagi was with Bachira before. But this time, it’s one-sided and this guy really likes Rin now. Speaking of liking each other, I still to this day find it so sad how Nagi left my boy Reo. This episode just showed why he's one of the realest and best character in the show still.Doesn't really bode well with me that most of the shots in the PVs were in this episode, but what did we really expect lol. A fine start, I guess? Not much to work with when it comes to this arc, but we'll see how it'll go from here.OP was a visual vomit to watch, and ED sounds good as usual, but them visuals... sigh.""",22-Aug,3,0.0,0.646,0.354,0.5096,positive,0.050067805,0.832342207,0.014539964,0.003380027,0.081542239,0.016773991,0.001353771,4.0
Ep14,joshlill,""" Feel genuinely sorry for you if that’s the best thing you’ve ever seen in anime""",Volts71,"""Volts71 said:That goal was the greatest thing I've ever seen in an anime , everything aside Isagi's goal redeemed the entire season and we're all in for next one , The Neo Egoist League !! Also Kuigami's reveal in the end gave me goosebumpsTHE PEAK LOCK IS REAL 🔥⚽""",24-Mar,78,0.07,0.703,0.227,0.5994,positive,0.001444759,0.002672609,0.002042332,0.002567827,0.015732188,0.944408059,0.031132272,4.6
Ep14,Volts71,""" For someone who doesn't play soccer , you wouldn't get how insane Isagi's goal was. Equalizer breakers in additional time is the greatest joy for players and the animators displayed that perfectly and that's why that goal and celebration is peak. Plus I don't really care about the animation as long as they deliver at important moments it's good because blue lock story has always been great. Anyways Retards won't understand 🤷Volts71Jan 1, 8:04 PM""",Ayzeen_,"""Ayzeen_ said:Volts71 said:That goal was the greatest thing I've ever seen in an anime , everything aside Isagi's goal redeemed the entire season and we're all in for next one , The Neo Egoist League !! Also Kuigami's reveal in the end gave me goosebumpsTHE PEAK LOCK IS REAL 🔥⚽A goal redeemed a terrible work in preparation for years yeah rightOtherwise without being part of the bandwagon and being objective, this season was terrible as a whole but few exceptions like this episode and the Shidou episodes (11 I think) made it not a complete mistake.The last episode was good, definitely not a perfect episode like people say it is, maybe if it had the whole episode animated well and not the last 5 minutes only it'd be possible but with that it's just a good episode, solid 8.5/10.Doesn't excuse the terrible episodes we had the whole season, 8bit had 2 years to make something out of the highest selling manga of 2023 and they did so bad a lot of people dropped it during the middle.Hopefully next season won't have the same structure with a few good episodes and the rest that makes you wanna stop watching anime all together.""",20-Sep,217,0.053,0.695,0.252,0.9606,positive,0.061173141,0.008102835,0.010126559,0.118017405,0.453586698,0.026372235,0.322621107,4.6
Ep8,OtakuKun1,""" I have to admit it as well, you’re right. Ego told them how Japan U-20 looks like and what kind of things could they encounter, but U-20 knew nothing about Blue Lock and they were too confident that they’ll definitely win the match with no difficulties.My tickets - MAL Bunkasai 2024:  https://imgur.com/a/m7ANrqo https://imgur.com/a/xH8YXqt https://imgur.com/a/NnZK4E1 https://imgur.com/a/NSutGkk https://imgur.com/a/6t8z0bQ https://imgur.com/a/rsqzLSO https://imgur.com/a/UIuELJD https://imgur.com/a/OpmB5P2  """,PrimeX,"""PrimeX said:To be fair Blue Lock had time to study the U20 team while the U20 had no idea who they were and what they can do""",22-Oct,1084,0.04,0.709,0.252,0.9319,positive,0.003337846,0.001562397,0.005189466,0.035896078,0.889669657,0.004814283,0.059530362,3.9
Ep5,yummy_W4ffle,""" I think that he evolved, in the match againts isagi he was not good anouth the beats king but he probably changed a lot but it's suprising how much he changed anouth to beat king""",PrimeX,"""PrimeX said:I didn't expect Niko to be chosen over Barou or Reo""",24-Jul,201,0.051,0.949,0.0,-0.1786,negative,0.00683224,0.002339105,0.004660176,0.006148628,0.044290777,0.005818962,0.929910183,3.9
Ep6,neffst3r,""" I thought the CGI was ok when Bachira was dribbling, but I’m more curious (afraid lol) about next episode tbh.""",samsince04,"""samsince04 said:That ep had me so hyped man. Hearing match noises is just so surreal. Isagi's parents are so worried lol. Anime-onlies are going to lose their minds when they see Chigiri's fellow species.As usual, I can't really tell what bad animation is unless it's glaringly obvious like in most of the practice matches we had in previous eps. I thought it was good, the ball actually moved and less still frames I think? But the CGI that just pops up for like a second is kinda off-putting.The match starts with Bachira cooking his man and delivering a ball to Isagi but Aiku reads it and it's a throw-in for Blue Lock. I'm not sure why Isagi was so shocked tho. Didn't seem like that much of an impressive play to me. Additional time was great as usual.""",19-Jan,426,0.0,0.773,0.227,0.611,positive,0.0100903,0.010574336,0.701117039,0.004434922,0.173903778,0.008380579,0.091498993,3.9
Ep1,JaysonNnN,""" I usually find your reviews moderate and fair, but here, I find that you are in excess for real. But each to their own tastes obviously !""",IzanaSolos,"""IzanaSolos said:It's back, worse than ever, as seen in the PVs lmao. Last season I could kinda look over it, I mean the first couple of episodes actually looked good, but this time around, half this episode is just still frames... LOL. God, 8bit is so ASS.Animation whatever, picking up RIGHT where we left off with the third selection, easily the worst arc of the show, so I kinda get why 8bit doesn't care for it all too much. I could care less as long as they do U-20 well. Anywho, to this day I still find it crazy that Isagi didn't get picked here. But what's worse than the Isagi not getting picked? His friends getting chosen instead. And Bachira... yeah, he's talented, but is he really fit to be a striker? Has the dude even scored a goal yet?Though, yeah, drawings look good as always, but 8bit YET again has another ""yapfest"" show on their hands with this, and it dosen't even move as well... this is legit just TenSura season three if it were soccer now. Whatever that's the last time I'll complain about the animation, But yeah, it’s like the old codependency, like how Isagi was with Bachira before. But this time, it’s one-sided and this guy really likes Rin now. Speaking of liking each other, I still to this day find it so sad how Nagi left my boy Reo. This episode just showed why he's one of the realest and best character in the show still.Doesn't really bode well with me that most of the shots in the PVs were in this episode, but what did we really expect lol. A fine start, I guess? Not much to work with when it comes to this arc, but we'll see how it'll go from here.OP was a visual vomit to watch, and ED sounds good as usual, but them visuals... sigh.""",19-Oct,873,0.0,0.922,0.078,0.2363,positive,0.019342097,0.017207131,0.001555842,0.047180664,0.889335215,0.00544683,0.019932268,4.0
